sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
1.712236504E+2,1.221854627E+2,1.294263760E+2,9.313003851E+1,

Count Trace ChA [kHz],Count Trace ChB [kHz]
6.708145142E+1,4.840850830E+1
1.213455200E+2,9.138107300E+1
1.491546631E+2,1.151847839E+2
1.587867737E+2,1.218795776E+2
1.310157776E+2,9.677886963E+1
9.382247925E+1,7.289886475E+1
9.651184082E+1,6.931304932E+1
6.925582886E+1,5.207061768E+1
5.470275879E+1,4.158020020E+1
4.873275757E+1,3.551483154E+1
5.058288574E+1,3.782272339E+1
5.031585693E+1,3.709793091E+1
5.611419678E+1,4.381179810E+1
5.889892578E+1,4.463195801E+1
5.058288574E+1,3.860473633E+1
6.313323975E+1,4.585266113E+1
7.415771484E+1,5.783081055E+1
7.459640503E+1,5.638122559E+1
5.411148071E+1,3.965377808E+1
5.775451660E+1,4.375457764E+1
7.936477661E+1,5.790710449E+1
1.183891296E+2,8.943557739E+1
2.194213867E+2,1.670646667E+2
1.733398437E+2,1.306152344E+2
1.909065247E+2,1.432418823E+2
1.041221619E+2,7.705688477E+1
7.282257080E+1,5.693435669E+1
6.975173950E+1,5.130767822E+1
1.004409790E+2,7.591247559E+1
1.911926270E+2,1.389122009E+2
1.861572266E+2,1.417350769E+2
3.027343750E+2,2.285957336E+2
2.395629883E+2,1.785278320E+2
2.011108398E+2,1.551437378E+2
1.563072205E+2,1.160812378E+2
2.363777161E+2,1.783561707E+2
2.330780029E+2,1.751327515E+2
2.789688110E+2,2.091407776E+2
2.529335022E+2,1.898765564E+2
2.322769165E+2,1.755142212E+2
1.912498474E+2,1.461601257E+2
2.414894104E+2,1.831245422E+2
2.384757996E+2,1.794242859E+2
2.073097229E+2,1.567649841E+2
1.860809326E+2,1.475715637E+2
1.988029480E+2,1.490402222E+2
1.484680176E+2,1.101684570E+2
1.004600525E+2,7.537841797E+1
7.661819458E+1,5.723953247E+1
5.918502808E+1,4.430770874E+1
4.703521729E+1,3.553390503E+1
5.384445190E+1,3.936767578E+1
7.839202881E+1,5.765914917E+1
