t	a	mu	sigma	area	r2
0.04000048000576007	0.4814362513670918	0.0400006688271686	4.054405562567409e-05	0.6132193501641033	0.9975896312275371
0.08000096001152014	0.47156960647188284	0.08000110974942358	4.096558779109492e-05	0.6068968307940584	0.9976289706970181
0.1200014400172802	0.4621655398520237	0.12000153198673855	4.1192003369775014e-05	0.5980814703312818	0.9976721981664324
0.16000192002304028	0.4658143768576883	0.16000210493791608	4.0207895654514953e-05	0.5884019526887253	0.9974600710920676
0.20000240002880035	0.46248005996551583	0.2000025779630693	4.015900510916406e-05	0.5834798068545642	0.9975279373238615
0.2400028800345604	0.4559605513454879	0.24000312543799554	4.040674221280336e-05	0.5788032749566238	0.9975483611781162
0.2800033600403205	0.44300666434375174	0.2800034803755147	4.086893625636e-05	0.5687919826578554	0.997305419752137
0.32000384004608057	0.44425836717847367	0.32000395925345443	4.070461956864088e-05	0.568105755149059	0.9974005671349587
0.4000048000576007	0.4427958043128287	0.4000049772790099	4.01886007304673e-05	0.5590572130197505	0.9972277663557528
0.4800057600691208	0.43167264140880446	0.48000599310118064	4.073590293073898e-05	0.5524357106562345	0.9973981347840704
0.560006720080641	0.4269016323941293	0.5600069391327538	4.019924317098273e-05	0.539132564698048	0.9972939944840195
0.6400076800921611	0.418421657438504	0.6400080442864505	4.0381492320767844e-05	0.530818918295863	0.997223349367308
0.7200086401036813	0.4142631357473841	0.7200089622750544	4.030300112127276e-05	0.5245218056120498	0.9973079683890264
0.8000096001152014	0.40767075116919776	0.8000100470031263	4.0207678629325474e-05	0.5149539885833907	0.9971409029937116
0.8800105601267215	0.4021564621135725	0.880010908729479	4.032770631744442e-05	0.5095049950291015	0.9970949752451458
1.0000120001440016	0.3911896899105348	1.0000124672401869	4.062111458384179e-05	0.49921670383489863	0.9972772540468287
1.120013440161282	0.38475804442504463	1.1200138515910512	4.034485825278368e-05	0.4876697029442484	0.9969896353578674
1.2400148801785622	0.3752825766337477	1.2400153496056794	4.0489294642810806e-05	0.4773627046840623	0.9966219840661441
1.3600163201958424	0.37016532532045904	1.3600168633673841	4.02821269663173e-05	0.4684443455984056	0.996680800774547
1.4800177602131226	0.3621009481435999	1.4800183984288895	4.0462226381943735e-05	0.4602876370746195	0.9968976925396236
1.6000192002304028	0.35491159142630613	1.6000198771527832	4.042669370410391e-05	0.45075264141632515	0.9965692372234044
1.720020640247683	0.3457698826393568	1.720021550966956	4.0159646091758984e-05	0.43624143385756786	0.9962442892129499
1.8800225602707232	0.33754572966447965	1.880023402725968	4.0057170854072134e-05	0.424778731390877	0.9959611282129257
2.0400244802937633	0.3268794989924888	2.0400255211619562	4.005030735367409e-05	0.4112855104571	0.9958215683104085
2.2000264003168035	0.3190097078435182	2.2000273721458226	4.0080315391831117e-05	0.40168434153004995	0.9953280532913842
2.360028320339844	0.3112767825561393	2.3600294277879024	4.0167723624776904e-05	0.392802118791417	0.995749697949094
2.5200302403628845	0.30355465276792143	2.5200315209191135	4.0213480723558883e-05	0.38349387522890693	0.9956848961980755
2.6800321603859247	0.29725851298625844	2.6800333594005346	4.0334439281446014e-05	0.37666927617869655	0.9956848536274829
2.840034080408965	0.2889122286722364	2.840035362153292	4.022562794288838e-05	0.3651057137449312	0.9958469125535936
3.0400364804377653	0.282793924891593	3.0400378901864187	4.026863064332316e-05	0.3577559040393741	0.9958268523279059
3.2400388804665656	0.2733105659711163	3.240040196935977	4.012915132112842e-05	0.34456111907204373	0.995526521649426
3.440041280495366	0.265505403129197	3.440042690009114	3.998626686647462e-05	0.3335293801677601	0.9950943671118048
3.6400436805241663	0.25736107268937447	3.6400452941198362	3.9874505356045434e-05	0.3223948082298878	0.9943713837971726
3.8400460805529666	0.25168596583603103	3.840047861906458	4.0133558344173864e-05	0.3173339513702003	0.9955734319068492
4.040048480581767	0.24316466821781121	4.040050484486907	3.991739642585164e-05	0.304938705309535	0.9946677656935855
4.240050880610567	0.237664301298024	4.240052907953075	3.999518649260272e-05	0.29862182940683785	0.9951042850279022
4.480053760645128	0.23015451703857492	4.480055819655302	3.981617468569854e-05	0.28789154383408944	0.9940334374851469
4.720056640679688	0.22180820908797047	4.720058996549725	3.985073698820509e-05	0.2776923050729812	0.9949737694952501
4.960059520714249	0.21501999324996365	4.960062125200409	3.9768991986693454e-05	0.26864162125329977	0.9940915814600556
5.200062400748809	0.20753394488544488	5.200064831149319	3.90101924521197e-05	0.2543414289575112	0.9933951476638527
5.44006528078337	0.20252948856284017	5.44006789209009	3.9206812832134124e-05	0.24945928781132148	0.994022706565041
5.68006816081793	0.19523214553823412	5.680070839729016	3.8797522940805684e-05	0.2379606783852405	0.9933875175242318
5.92007104085249	0.1903924387908675	5.920073894893861	3.858003875241865e-05	0.23076090267827856	0.9931627940167663
6.20007440089281	0.182919740002189	6.2000773516241034	3.825717125336724e-05	0.21984839688091073	0.9921093861347418
6.480077760933131	0.1778698774058183	6.480081130571609	3.8146545404959006e-05	0.21316087401438236	0.9921925183374473
6.760081120973451	0.1702479179993767	6.760084441381985	3.821977453598325e-05	0.20441831446603964	0.9923244998878298
7.040084481013772	0.1644385953474028	7.0400878809185405	3.8034867293099455e-05	0.19648777569826673	0.9912032588854279
7.320087841054092	0.15871951520432276	7.320091199063027	3.814121299044164e-05	0.1901843171673375	0.9919169319568606
7.600091201094413	0.1549657481588518	7.600094745925286	3.783529406123474e-05	0.18419706410325043	0.9927052495372535
7.880094561134733	0.1483989224953739	7.880098034292157	3.763407442818314e-05	0.1754534287706167	0.9927706245064452
