sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
1.663203840E+2,9.219856053E+0,1.255080917E+2,6.961733250E+0,

Count Trace ChA [kHz],Count Trace ChB [kHz]
1.767539978E+2,1.319313049E+2
1.704025269E+2,1.296997070E+2
1.611900330E+2,1.215553284E+2
1.626396179E+2,1.256179810E+2
1.698303223E+2,1.301383972E+2
1.727485657E+2,1.297760010E+2
1.777076721E+2,1.333999634E+2
1.784896851E+2,1.335334778E+2
1.827430725E+2,1.351547241E+2
1.662063599E+2,1.245307922E+2
1.803207397E+2,1.326751709E+2
1.782989502E+2,1.336860657E+2
1.761627197E+2,1.370620728E+2
1.758575439E+2,1.358413696E+2
1.752853394E+2,1.308822632E+2
1.780891418E+2,1.394844055E+2
1.694107056E+2,1.248359680E+2
1.722526550E+2,1.284408569E+2
1.870918274E+2,1.428031921E+2
1.885604858E+2,1.407241821E+2
1.806068420E+2,1.396369934E+2
1.779365540E+2,1.351165771E+2
1.934814453E+2,1.422309875E+2
1.889419556E+2,1.438903809E+2
1.833343506E+2,1.345062256E+2
1.837158203E+2,1.382637024E+2
1.788711548E+2,1.345252991E+2
1.970863342E+2,1.496315002E+2
1.895523071E+2,1.416015625E+2
1.830673218E+2,1.409339905E+2
1.848602295E+2,1.379013062E+2
1.904869080E+2,1.453590393E+2
1.786422729E+2,1.367568970E+2
1.766967773E+2,1.378440857E+2
1.760673523E+2,1.357841492E+2
1.920890808E+2,1.434707642E+2
1.836204529E+2,1.387214661E+2
1.836967468E+2,1.398468018E+2
1.819419861E+2,1.362991333E+2
1.765823364E+2,1.314926147E+2
1.784324646E+2,1.395416260E+2
1.839828491E+2,1.397514343E+2
1.755523682E+2,1.304435730E+2
1.856613159E+2,1.386451721E+2
1.828765869E+2,1.370811462E+2
1.943206787E+2,1.501655579E+2
1.845359802E+2,1.356697083E+2
1.671791077E+2,1.286888123E+2
1.773834229E+2,1.326560974E+2
1.791000366E+2,1.368713379E+2
1.708030701E+2,1.284599304E+2
1.675796509E+2,1.259422302E+2
1.727867126E+2,1.309776306E+2
1.739120483E+2,1.312828064E+2
1.755714417E+2,1.315116882E+2
1.714706421E+2,1.266098022E+2
1.524925232E+2,1.151657104E+2
1.595687866E+2,1.184844971E+2
1.774406433E+2,1.328086853E+2
1.732635498E+2,1.283073425E+2
1.728630066E+2,1.275444031E+2
1.711463928E+2,1.310348511E+2
1.756286621E+2,1.284217834E+2
1.772689819E+2,1.331710815E+2
1.716613770E+2,1.261520386E+2
1.690101624E+2,1.335716248E+2
1.674079895E+2,1.246452332E+2
1.743698120E+2,1.316452026E+2
1.786231995E+2,1.370429993E+2
1.757431030E+2,1.333618164E+2
1.806831360E+2,1.338577271E+2
1.726150513E+2,1.292610168E+2
1.673126221E+2,1.263427734E+2
1.806831360E+2,1.336097717E+2
1.709365845E+2,1.300048828E+2
1.656150818E+2,1.250076294E+2
1.627540588E+2,1.262664795E+2
1.801872253E+2,1.371765137E+2
1.536178589E+2,1.170158386E+2
1.639175415E+2,1.227188110E+2
1.694107056E+2,1.267242432E+2
1.651573181E+2,1.253700256E+2
1.689720154E+2,1.268768311E+2
1.635932922E+2,1.216506958E+2
1.730346680E+2,1.296424866E+2
1.633644104E+2,1.239585876E+2
1.535606384E+2,1.189994812E+2
1.711654663E+2,1.294898987E+2
1.685142517E+2,1.272773743E+2
1.655387878E+2,1.280784607E+2
1.574516296E+2,1.180458069E+2
1.716995239E+2,1.297378540E+2
1.619720459E+2,1.229286194E+2
1.730537415E+2,1.275634766E+2
1.585769653E+2,1.175117493E+2
1.679801941E+2,1.243400574E+2
1.575660706E+2,1.202011108E+2
1.800346375E+2,1.368522644E+2
1.638984680E+2,1.247215271E+2
1.578712463E+2,1.190948486E+2
1.714706421E+2,1.274299622E+2
1.661872864E+2,1.271438599E+2
1.527595520E+2,1.154899597E+2
1.553535461E+2,1.169395447E+2
1.580238342E+2,1.188468933E+2
1.520538330E+2,1.152992249E+2
1.613235474E+2,1.234626770E+2
1.519775391E+2,1.168823242E+2
1.669311523E+2,1.302337646E+2
1.522064209E+2,1.128768921E+2
1.651191711E+2,1.234436035E+2
1.689910889E+2,1.308250427E+2
1.620101929E+2,1.207160950E+2
1.720428467E+2,1.307106018E+2
1.630401611E+2,1.247978210E+2
1.780319214E+2,1.327323914E+2
1.643753052E+2,1.248741150E+2
1.654434204E+2,1.249885559E+2
1.583290100E+2,1.175689697E+2
1.792335510E+2,1.330947876E+2
1.683425903E+2,1.270866394E+2
1.675796509E+2,1.263999939E+2
1.709556580E+2,1.285362244E+2
1.508331299E+2,1.162910461E+2
1.741218567E+2,1.302909851E+2
1.732254028E+2,1.273727417E+2
1.645469666E+2,1.261520386E+2
1.652908325E+2,1.243591309E+2
1.667022705E+2,1.244735718E+2
1.675987244E+2,1.289176941E+2
1.526451111E+2,1.154708862E+2
1.607131958E+2,1.200103760E+2
1.567649841E+2,1.216316223E+2
1.637077332E+2,1.236724854E+2
1.614570618E+2,1.202392578E+2
1.492118835E+2,1.116561890E+2
1.697921753E+2,1.342391968E+2
1.540184021E+2,1.203155518E+2
1.708602905E+2,1.262092590E+2
1.638221741E+2,1.223182678E+2
1.638412476E+2,1.237487793E+2
1.683807373E+2,1.270484924E+2
1.644134521E+2,1.227951050E+2
1.671981812E+2,1.269149780E+2
1.611328125E+2,1.222229004E+2
1.772117615E+2,1.339340210E+2
1.695442200E+2,1.302719116E+2
1.724815369E+2,1.326179504E+2
1.663208008E+2,1.243400574E+2
1.594924927E+2,1.208305359E+2
1.643562317E+2,1.237678528E+2
1.741218567E+2,1.279830933E+2
1.652717590E+2,1.220321655E+2
1.634407043E+2,1.217079163E+2
1.643753052E+2,1.219177246E+2
1.596069336E+2,1.195716858E+2
1.674652100E+2,1.247024536E+2
1.648902893E+2,1.262474060E+2
1.645088196E+2,1.226425171E+2
1.638603210E+2,1.245498657E+2
1.682281494E+2,1.247024536E+2
1.697349548E+2,1.281166077E+2
1.569366455E+2,1.185989380E+2
1.715850830E+2,1.253700256E+2
1.625823975E+2,1.195335388E+2
1.721954346E+2,1.298904419E+2
1.614952087E+2,1.259040833E+2
1.668357849E+2,1.219558716E+2
1.619529724E+2,1.215171814E+2
1.521492004E+2,1.130485535E+2
1.603889465E+2,1.250457764E+2
1.612854004E+2,1.232147217E+2
1.606559753E+2,1.235389709E+2
1.680564880E+2,1.289939880E+2
1.637077332E+2,1.217651367E+2
1.570701599E+2,1.176071167E+2
1.550865173E+2,1.167488098E+2
1.589012146E+2,1.187896729E+2
1.639747620E+2,1.205062866E+2
1.586532593E+2,1.172447205E+2
1.667976379E+2,1.261138916E+2
1.619911194E+2,1.212120056E+2
1.711463928E+2,1.279067993E+2
1.716041565E+2,1.251792908E+2
1.717758179E+2,1.258087158E+2
1.606750488E+2,1.221275330E+2
1.672744751E+2,1.279067993E+2
1.648330688E+2,1.262283325E+2
1.701164246E+2,1.282691956E+2
1.694869995E+2,1.253890991E+2
1.685142517E+2,1.202964783E+2
1.592445374E+2,1.209068298E+2
1.624679565E+2,1.230430603E+2
1.789474487E+2,1.373100281E+2
1.697349548E+2,1.227569580E+2
1.701927185E+2,1.269531250E+2
1.615333557E+2,1.249504089E+2
1.644897461E+2,1.239395142E+2
1.745986938E+2,1.312065125E+2
1.573181152E+2,1.159667969E+2
1.581382751E+2,1.192855835E+2
1.601982117E+2,1.194000244E+2
1.539993286E+2,1.161766052E+2
1.644515991E+2,1.185607910E+2
1.588630676E+2,1.204299927E+2
1.618576050E+2,1.210212708E+2
1.646423340E+2,1.250648499E+2
1.659393311E+2,1.244926453E+2
1.621437073E+2,1.281166077E+2
1.548385620E+2,1.152992249E+2
1.594734192E+2,1.185798645E+2
1.603507996E+2,1.216316223E+2
1.625633240E+2,1.222229004E+2
1.559257507E+2,1.189994812E+2
1.594161987E+2,1.200103760E+2
1.688575745E+2,1.273918152E+2
1.677513123E+2,1.283645630E+2
1.452445984E+2,1.100921631E+2
1.617431641E+2,1.199340820E+2
1.537513733E+2,1.143836975E+2
1.590728760E+2,1.215553284E+2
1.637268066E+2,1.222610474E+2
1.538467407E+2,1.154708862E+2
1.541709900E+2,1.149177551E+2
1.625633240E+2,1.204490662E+2
1.564025879E+2,1.179122925E+2
1.528358459E+2,1.157760620E+2
1.583290100E+2,1.210403442E+2
1.558113098E+2,1.163101196E+2
1.595687866E+2,1.214981079E+2
1.563835144E+2,1.189041138E+2
1.557159424E+2,1.147651672E+2
1.582527161E+2,1.216506958E+2
1.565361023E+2,1.191139221E+2
1.601600647E+2,1.256752014E+2
1.617431641E+2,1.237106323E+2
1.603317261E+2,1.234054565E+2
1.575279236E+2,1.216697693E+2
1.516723633E+2,1.159667969E+2
1.631164551E+2,1.236152649E+2
1.651954651E+2,1.248168945E+2
1.504707336E+2,1.162528992E+2
1.542091370E+2,1.185989380E+2
1.577186584E+2,1.182174683E+2
1.601791382E+2,1.222991943E+2
1.574134827E+2,1.192092896E+2
1.598167419E+2,1.227188110E+2
1.663589478E+2,1.239585876E+2
1.475524902E+2,1.114463806E+2
1.577949524E+2,1.177406311E+2
1.589584351E+2,1.186370850E+2
1.539421082E+2,1.148986816E+2
1.534652710E+2,1.171112061E+2
1.613998413E+2,1.217079163E+2
1.712989807E+2,1.278114319E+2
1.696014404E+2,1.288223267E+2
1.613998413E+2,1.226425171E+2
1.534080505E+2,1.166343689E+2
1.572608948E+2,1.176071167E+2
1.548576355E+2,1.192474365E+2
1.748847961E+2,1.305961609E+2
1.572036743E+2,1.175880432E+2
1.422691345E+2,1.068878174E+2
1.596832275E+2,1.148986816E+2
1.495552063E+2,1.139259338E+2
1.597023010E+2,1.185035706E+2
1.518821716E+2,1.138877869E+2
1.541900635E+2,1.185989380E+2
1.523017883E+2,1.157569885E+2
1.446914673E+2,1.083946228E+2
