sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
6.697762719E+1,2.219283033E+0,6.149019514E+1,2.079294463E+0,

Count Trace ChA [kHz],Count Trace ChB [kHz]
6.662368774E+1,6.168365479E+1
6.898880005E+1,6.175994873E+1
6.685256958E+1,6.195068359E+1
6.668090820E+1,5.994796753E+1
7.007598877E+1,6.437301636E+1
6.389617920E+1,6.092071533E+1
6.258010864E+1,5.895614624E+1
6.959915161E+1,6.185531616E+1
6.568908691E+1,6.223678589E+1
6.969451904E+1,6.435394287E+1
6.771087646E+1,6.353378296E+1
6.975173950E+1,6.479263306E+1
6.736755371E+1,5.977630615E+1
6.666183472E+1,6.235122681E+1
6.469726562E+1,6.238937378E+1
6.738662720E+1,6.128311157E+1
6.458282471E+1,5.859375000E+1
6.685256958E+1,6.315231323E+1
6.568908691E+1,6.076812744E+1
6.685256958E+1,5.990982056E+1
6.828308105E+1,6.153106689E+1
6.563186646E+1,6.071090698E+1
6.484985352E+1,6.315231323E+1
6.801605225E+1,6.156921387E+1
6.668090820E+1,6.217956543E+1
6.467819214E+1,5.853652954E+1
6.526947021E+1,5.849838257E+1
6.649017334E+1,6.072998047E+1
6.635665894E+1,6.086349487E+1
6.612777710E+1,6.017684937E+1
6.772994995E+1,6.082534790E+1
6.589889526E+1,6.187438965E+1
6.635665894E+1,6.111145020E+1
6.710052490E+1,6.378173828E+1
6.441116333E+1,5.720138550E+1
6.420135498E+1,5.956649780E+1
6.757736206E+1,6.111145020E+1
6.336212158E+1,5.977630615E+1
7.026672363E+1,6.546020508E+1
6.879806519E+1,6.500244141E+1
6.336212158E+1,6.036758423E+1
6.668090820E+1,6.126403809E+1
6.542205811E+1,6.301879883E+1
6.685256958E+1,6.059646606E+1
6.456375122E+1,6.011962891E+1
6.475448608E+1,6.282806396E+1
6.462097168E+1,5.918502808E+1
6.498336792E+1,5.807876587E+1
6.509780884E+1,5.939483643E+1
6.189346313E+1,5.668640137E+1
6.706237793E+1,6.288528442E+1
6.578445435E+1,5.943298340E+1
6.549835205E+1,6.036758423E+1
6.690979004E+1,6.175994873E+1
6.324768066E+1,5.817413330E+1
6.914138794E+1,6.658554077E+1
6.427764893E+1,5.771636963E+1
6.820678711E+1,6.198883057E+1
6.362915039E+1,5.926132202E+1
6.673812866E+1,5.947113037E+1
6.559371948E+1,5.876541138E+1
7.394790649E+1,6.826400757E+1
6.484985352E+1,5.809783936E+1
6.807327271E+1,6.265640259E+1
6.690979004E+1,6.097793579E+1
6.856918335E+1,6.235122681E+1
6.820678711E+1,6.254196167E+1
6.570816040E+1,6.086349487E+1
7.379531860E+1,6.517410278E+1
6.820678711E+1,6.118774414E+1
6.416320801E+1,5.914688110E+1
6.736755371E+1,6.189346313E+1
6.845474243E+1,6.191253662E+1
6.704330444E+1,6.462097168E+1
6.656646729E+1,6.298065186E+1
6.694793701E+1,5.903244019E+1
7.009506226E+1,6.351470947E+1
6.954193115E+1,6.477355957E+1
6.666183472E+1,6.349563599E+1
6.675720215E+1,6.254196167E+1
6.771087646E+1,6.418228149E+1
6.330490112E+1,6.006240845E+1
7.053375244E+1,6.572723389E+1
6.914138794E+1,6.092071533E+1
6.801605225E+1,6.170272827E+1
6.525039673E+1,6.401062012E+1
6.523132324E+1,6.008148193E+1
6.671905518E+1,6.319046021E+1
6.589889526E+1,5.935668945E+1
7.152557373E+1,6.544113159E+1
6.877899170E+1,6.484985352E+1
6.610870361E+1,5.897521973E+1
7.007598877E+1,6.446838379E+1
6.963729858E+1,6.332397461E+1
6.858825684E+1,6.174087524E+1
6.910324097E+1,6.139755249E+1
6.898880005E+1,6.219863892E+1
6.685256958E+1,6.332397461E+1
6.740570068E+1,6.196975708E+1
6.750106812E+1,5.947113037E+1
7.133483887E+1,6.528854370E+1
7.192611694E+1,6.515502930E+1
6.540298462E+1,6.055831909E+1
