sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
6.697762719E+1,2.219283033E+0,6.149019514E+1,2.079294463E+0,

Count Trace ChA [kHz],Count Trace ChB [kHz]
6.822586060E+1,6.156921387E+1
6.845474243E+1,6.320953369E+1
6.635665894E+1,6.183624268E+1
6.647109985E+1,6.416320801E+1
6.919860840E+1,6.250381470E+1
6.647109985E+1,6.349563599E+1
6.935119629E+1,6.486892700E+1
6.908416748E+1,6.135940552E+1
6.793975830E+1,6.210327148E+1
7.270812988E+1,6.664276123E+1
6.439208984E+1,5.746841431E+1
6.832122803E+1,6.473541260E+1
6.942749023E+1,6.494522095E+1
6.824493408E+1,6.143569946E+1
7.011413574E+1,6.317138672E+1
6.824493408E+1,6.101608276E+1
6.568908691E+1,6.284713745E+1
6.965637207E+1,6.278991699E+1
6.233215332E+1,5.649566650E+1
6.734848022E+1,6.183624268E+1
6.649017334E+1,6.044387817E+1
6.404876709E+1,5.800247192E+1
6.628036499E+1,5.880355835E+1
6.669998169E+1,6.116867065E+1
6.423950195E+1,6.025314331E+1
6.729125977E+1,6.244659424E+1
6.422042847E+1,5.977630615E+1
6.879806519E+1,6.240844727E+1
6.441116333E+1,5.901336670E+1
6.620407104E+1,6.149291992E+1
6.784439087E+1,6.273269653E+1
6.618499756E+1,6.069183350E+1
6.799697876E+1,6.351470947E+1
6.362915039E+1,5.924224854E+1
6.807327271E+1,6.183624268E+1
6.706237793E+1,6.097793579E+1
6.750106812E+1,6.221771240E+1
6.456375122E+1,5.874633789E+1
6.679534912E+1,6.366729736E+1
6.719589233E+1,6.156921387E+1
6.862640381E+1,6.082534790E+1
6.757736206E+1,6.464004517E+1
6.496429443E+1,5.989074707E+1
6.664276123E+1,6.055831909E+1
6.759643555E+1,5.998611450E+1
6.309509277E+1,5.861282349E+1
6.824493408E+1,6.149291992E+1
6.715774536E+1,6.048202515E+1
6.607055664E+1,5.733489990E+1
6.898880005E+1,6.305694580E+1
6.538391113E+1,5.842208862E+1
7.041931152E+1,6.227493286E+1
6.250381470E+1,5.813598633E+1
6.679534912E+1,6.065368652E+1
6.656646729E+1,6.147384644E+1
6.517410278E+1,5.926132202E+1
6.311416626E+1,6.160736084E+1
6.574630737E+1,6.059646606E+1
6.240844727E+1,5.836486816E+1
6.662368774E+1,6.126403809E+1
6.898880005E+1,6.317138672E+1
6.586074829E+1,5.805969238E+1
6.793975830E+1,6.038665771E+1
6.509780884E+1,6.156921387E+1
6.368637085E+1,5.737304687E+1
6.689071655E+1,6.031036377E+1
7.087707520E+1,6.471633911E+1
6.456375122E+1,5.994796753E+1
6.738662720E+1,5.971908569E+1
6.538391113E+1,6.080627441E+1
7.192611694E+1,6.450653076E+1
6.977081299E+1,6.195068359E+1
6.677627563E+1,6.244659424E+1
6.612777710E+1,5.992889404E+1
6.958007812E+1,6.202697754E+1
6.755828857E+1,6.353378296E+1
6.916046143E+1,6.023406982E+1
6.677627563E+1,6.267547607E+1
6.475448608E+1,5.998611450E+1
6.605148315E+1,6.099700928E+1
6.742477417E+1,6.216049194E+1
7.015228271E+1,6.378173828E+1
6.607055664E+1,5.960464478E+1
6.622314453E+1,6.175994873E+1
6.586074829E+1,6.212234497E+1
6.423950195E+1,6.023406982E+1
6.534576416E+1,6.004333496E+1
6.492614746E+1,6.038665771E+1
6.608963013E+1,6.259918213E+1
7.242202759E+1,6.546020508E+1
6.759643555E+1,6.156921387E+1
6.637573242E+1,6.174087524E+1
6.519317627E+1,6.122589111E+1
6.738662720E+1,6.225585937E+1
6.711959839E+1,6.057739258E+1
6.387710571E+1,5.815505981E+1
6.551742554E+1,6.124496460E+1
6.517410278E+1,6.076812744E+1
6.343841553E+1,5.821228027E+1
6.452560425E+1,5.990982056E+1
6.641387939E+1,6.088256836E+1
6.532669067E+1,6.134033203E+1
6.521224976E+1,6.269454956E+1
6.555557251E+1,6.019592285E+1
6.692886353E+1,6.158828735E+1
6.879806519E+1,6.353378296E+1
6.404876709E+1,6.040573120E+1
6.731033325E+1,6.130218506E+1
6.561279297E+1,6.206512451E+1
7.162094116E+1,6.351470947E+1
6.742477417E+1,5.947113037E+1
6.603240967E+1,6.248474121E+1
6.578445435E+1,5.964279175E+1
6.898880005E+1,5.851745605E+1
6.647109985E+1,6.057739258E+1
6.383895874E+1,5.889892578E+1
7.051467896E+1,6.305694580E+1
6.208419800E+1,5.783081055E+1
6.914138794E+1,6.130218506E+1
6.458282471E+1,5.912780762E+1
6.673812866E+1,6.208419800E+1
6.822586060E+1,6.422042847E+1
6.835937500E+1,6.244659424E+1
6.130218506E+1,5.716323853E+1
6.435394287E+1,5.870819092E+1
6.481170654E+1,5.878448486E+1
6.837844849E+1,6.284713745E+1
6.547927856E+1,6.057739258E+1
7.007598877E+1,6.381988525E+1
6.731033325E+1,5.813598633E+1
6.530761719E+1,5.962371826E+1
6.494522095E+1,5.928039551E+1
6.397247314E+1,6.105422974E+1
6.401062012E+1,5.916595459E+1
6.599426270E+1,6.135940552E+1
6.465911865E+1,5.994796753E+1
6.967544556E+1,6.307601929E+1
6.622314453E+1,6.053924561E+1
6.624221802E+1,6.254196167E+1
6.692886353E+1,6.023406982E+1
6.517410278E+1,5.975723267E+1
6.500244141E+1,6.044387817E+1
6.532669067E+1,5.970001221E+1
6.589889526E+1,6.052017212E+1
6.587982178E+1,6.237030029E+1
