t	msd
0.3932160124999997	3.007869985209415e-16
0.4194304124999997	3.0313019120836794e-16
0.4718592124999997	3.0781225118620044e-16
0.5242880124999997	3.124887961650452e-16
0.5767168124999997	3.1715982169624273e-16
0.6291456124999997	3.218252259922895e-16
0.6815744124999996	3.264848852838045e-16
0.7340032124999996	3.3113866370417545e-16
0.7864320124999995	3.3578643051321967e-16
0.8388608124999994	3.404280611106143e-16
0.9437184124999994	3.4969237170751495e-16
1.0485760124999994	3.589305796359875e-16
1.1534336124999993	3.6814167833819365e-16
1.2582912124999992	3.7732469256774094e-16
1.363148812499999	3.86478661433806e-16
1.468006412499999	3.9560266482346898e-16
1.5728640124999989	4.0469579600772984e-16
1.6777216124999987	4.1375717952556644e-16
1.8874368124999987	4.317813376944694e-16
2.0971520124999987	4.4966868424489525e-16
2.3068672124999985	4.674132237594099e-16
2.5165824124999983	4.850094345643166e-16
2.726297612499998	5.024522715223962e-16
2.936012812499998	5.197371676606533e-16
3.1457280124999976	5.36860051644303e-16
3.3554432124999973	5.538173404860682e-16
3.7748736124999973	5.872232172915156e-16
4.194304012499997	6.199357539975009e-16
4.613734412499998	6.519433607816532e-16
5.033164812499997	6.832414910674311e-16
5.452595212499997	7.138321602938349e-16
5.872025612499996	7.437233495197523e-16
6.291456012499996	7.729283867421136e-16
6.710886412499995	8.014652123691079e-16
7.549747212499995	8.566251865994374e-16
8.388608012499995	9.094138861662778e-16
9.227468812499996	9.600740604653992e-16
10.066329612499995	1.0088631532703191e-15
10.905190412499994	1.0560395117715396e-15
11.744051212499993	1.1018522366285108e-15
12.582912012499992	1.1465344686819892e-15
