ome	zstar	zpr	zppr	zstarFi	zprFi	zpprFi	zprS	zpprS	zC
7272727.2727272725	14277.57570313816	148.44244263365766	14276.804012105304	14342.166482430766	371.9695007385859	14337.342086324117	381.0620194984946	14339.202981723232	(381.0620194984946+14339.202981723232j)
6666666.666666667	13099.217296270748	148.3935730055296	13098.376736161217	13163.2137367446	370.29641004057834	13158.004272986569	378.00951839441404	13159.441028485635	(378.00951839441404+13159.441028485635j)
6153846.153846155	12102.137195930873	148.35226243193156	12101.227884614227	12166.227054942465	371.0367158626372	12160.56793525269	376.5593305197778	12161.342597587733	(376.5593305197778+12161.342597587733j)
5714285.7142857155	11247.490109601105	148.31623029750122	11246.512173176403	11312.25002185705	373.8178661165017	11306.071853653546	375.8180884709581	11305.860140226332	(375.8180884709581+11305.860140226332j)
5333333.333333335	10506.790436721381	148.2871831863974	10505.743961875452	10572.715554666756	378.37307766474845	10565.942836017564	375.52890999239236	10564.497965306413	(375.52890999239236+10564.497965306413j)
5000000.000000002	9858.67078572062	148.25550644820757	9857.555983408312	9926.19803613592	384.5043753961115	9918.748098318147	375.3881112721698	9915.71209066226	(375.3881112721698+9915.71209066226j)
4705882.352941178	9286.802992450223	148.25393911850784	9285.619558764954	9356.311906646344	392.05916940265223	9348.094035798926	375.4658139333029	9343.284983898659	(375.4658139333029+9343.284983898659j)
4210526.315789475	8323.64446471662	148.25384676098702	8322.324072753248	8389.510517740811	380.0410193644908	8380.898254416652	375.03918979297174	8378.80641446852	(375.03918979297174+8378.80641446852j)
3809523.8095238106	7543.914814468346	148.20501775325263	7542.458882928547	7607.370300485478	372.2758177897611	7598.25595806021	373.91493041624346	7597.664478092606	(373.91493041624346+7597.664478092606j)
3478260.8695652187	6899.779299250604	148.17497942155	6898.188063096031	6961.738356994772	367.7473494941835	6952.018616070606	371.9467093682053	6951.986685277173	(371.9467093682053+6951.986685277173j)
3200000.0000000014	6358.692501575189	148.14843449617038	6356.966444063149	6419.871317720199	365.77012483144455	6409.443029770003	369.27927168551173	6409.260372805636	(369.27927168551173+6409.260372805636j)
2962962.9629629645	5897.755229843663	148.12568063791468	5895.894803495381	5958.727462024315	365.86479337146767	5947.484839800266	366.3720791450565	5946.629505224065	(366.3720791450565+5946.629505224065j)
2758620.689655174	5500.385533139255	148.10785370829097	5498.391135308358	5561.620286424417	367.68349685999175	5549.453041201847	363.7178239685379	5547.58203077469	(363.7178239685379+5547.58203077469j)
2580645.161290324	5154.277640272937	148.08526823166108	5152.1499149724195	5216.167667409507	370.96476769883384	5202.95976110276	361.37143787566504	5199.902638120925	(361.37143787566504+5199.902638120925j)
2424242.4242424257	4850.120634902499	148.0914788648904	4847.859227225418	4912.986948170294	375.50534862808837	4898.615772444637	359.1730719592927	4894.235459691805	(359.1730719592927+4894.235459691805j)
