ome	gStar	gStarABS	gpr	gppr
12017.425266636632	(67.25084536493178+51.51267268434141j)	84.7126416149447	67.25084536493178	51.51267268434141
11159.157483609995	(65.5050682745117+48.739444207994666j)	81.64831530014973	65.5050682745117	48.739444207994666
10415.31050644448	(63.990638844111714+46.31185610710749j)	78.9910746588687	63.990638844111714	46.31185610710749
9764.433052605891	(62.59340412376662+44.12062212301565j)	76.58043833984695	62.59340412376662	44.12062212301565
8679.613757187812	(60.18676924032521+40.39656170975202j)	72.48675320055355	60.18676924032521	40.39656170975202
7811.7371350454105	(58.123899536531255+37.34160521038584j)	69.08533257516456	58.123899536531255	37.34160521038584
7101.642254771419	(56.34762769519346+34.8194181910051j)	66.23780665176218	56.34762769519346	34.8194181910051
6509.886890715277	(54.79424694156904+32.70170743553004j)	63.81074491880383	54.79424694156904	32.70170743553004
6009.163975061973	(53.40194319446233+30.852746064553276j)	61.67381516225821	53.40194319446233	30.852746064553276
5579.967915184491	(52.13838122515584+29.191421629411167j)	59.75407846771412	52.13838122515584	29.191421629411167
5207.994271206305	(51.04025252973372+27.73491716892619j)	58.08900936206595	51.04025252973372	27.73491716892619
4882.51449496491	(50.03519921749163+26.420526725922414j)	56.58237705513312	50.03519921749163	26.420526725922414
4340.042315412578	(48.312772690023486+24.187927227537813j)	54.02943483475043	48.312772690023486	24.187927227537813
3906.059274449492	(46.85306683240325+22.361829150262853j)	51.915905795307	46.85306683240325	22.361829150262853
3550.978738514805	(45.60725486707423+20.86007297962386j)	50.15141414980738	45.60725486707423	20.86007297962386
3255.075883956547	(44.52589203696926+19.603388551154506j)	48.65026109257151	44.52589203696926	19.603388551154506
3004.6948356807534	(43.5583357305452+18.503001620651848j)	47.3253598041128	43.5583357305452	18.503001620651848
2790.081261116732	(42.675837295071915+17.506365207598066j)	46.12699764364955	42.675837295071915	17.506365207598066
2604.081898375706	(41.90854203989748+16.631057991684624j)	45.08789178740376	41.90854203989748	16.631057991684624
2441.3317464676998	(41.20202315602182+15.836566335568923j)	44.140724342156346	41.20202315602182	15.836566335568923
2170.080021700802	(39.98656356982881+14.482347066438498j)	42.52838631639743	39.98656356982881	14.482347066438498
1953.0773174483056	(38.951406877530054+13.371044855761317j)	41.182483391287576	38.951406877530054	13.371044855761317
1775.5287746632052	(38.06687627008698+12.457251233575112j)	40.0533416490874	38.06687627008698	12.457251233575112
1627.5710536488118	(37.298572897651475+11.693139336251141j)	39.08852833937861	37.298572897651475	11.693139336251141
1502.3756314672585	(36.610318758518716+11.02264799222299j)	38.23367898019762	36.610318758518716	11.02264799222299
1395.0649577120944	(35.984358792595884+10.413852633839264j)	37.46094505473125	35.984358792595884	10.413852633839264
1302.062140915676	(35.437972289735704+9.877755802567995j)	36.78885618911305	35.437972289735704	9.877755802567995
1220.6844988327211	(34.939608433966775+9.39206758501846j)	36.17992773680562	34.939608433966775	9.39206758501846
1085.0547274478163	(34.087389304823056+8.565514545552661j)	35.14709303838141	34.087389304823056	8.565514545552661
976.5505792165628	(33.375218311151905+7.8922995751513225j)	34.29567888088795	33.375218311151905	7.8922995751513225
887.7742390110199	(32.775877794186876+7.342995287646967j)	33.58835728305089	32.775877794186876	7.342995287646967
813.7938049946598	(32.26367258877615+6.887437422393462j)	32.990625383025574	32.26367258877615	6.887437422393462
751.1948693390428	(31.81432992711183+6.490405773390937j)	32.46963128547027	31.81432992711183	6.490405773390937
697.5385608035648	(31.412664276378123+6.131161145940993j)	32.00541538455545	31.412664276378123	6.131161145940993
651.0363685191368	(31.06323354309231+5.814641918957129j)	31.602761569179183	31.06323354309231	5.814641918957129
610.3469059226542	(30.747076128885375+5.52867076660049j)	31.240180712040313	30.747076128885375	5.52867076660049
542.531042948114	(30.209086088318823+5.042908336102252j)	30.627109017629913	30.209086088318823	5.042908336102252
488.27826978595124	(29.760989323209547+4.649348047937577j)	30.121967445156262	29.760989323209547	4.649348047937577
443.88958246636173	(29.38446735688166+4.3299630423638105j)	29.701776071404893	29.38446735688166	4.3299630423638105
406.89897207147203	(29.06217629692233+4.066462093998282j)	29.345292724307917	29.06217629692233	4.066462093998282
375.5991980957123	(28.776475925955616+3.8375869536466225j)	29.03123559795383	28.776475925955616	3.8375869536466225
348.77080090854815	(28.51794018427853+3.6311072406428577j)	28.748179979733273	28.51794018427853	3.6311072406428577
325.51950879106147	(28.292037734197997+3.4488100661487864j)	28.501468208245917	28.292037734197997	3.4488100661487864
305.17461710122285	(28.08676094616553+3.285088884842146j)	28.278223944023825	28.08676094616553	3.285088884842146
271.2664412894652	(27.736482416943694+3.008129448130029j)	27.899127220078658	27.736482416943694	3.008129448130029
244.1398799442142	(27.44615986537334+2.78673831474393j)	27.587272460148938	27.44615986537334	2.78673831474393
221.9454069785186	(27.20377096722428+2.6092364346305685j)	27.328616313472555	27.20377096722428	2.6092364346305685
203.45000343321894	(26.998359706361068+2.4648032197331124j)	27.11063779674074	26.998359706361068	2.4648032197331124
187.80003990750862	(26.81989204207+2.3420408980854037j)	26.921956925836472	26.81989204207	2.3420408980854037
174.38578058345135	(26.66179700352152+2.234164289689809j)	26.755240786251846	26.66179700352152	2.234164289689809
162.76008553042507	(26.524179804513714+2.1389364075340067j)	26.610283036030406	26.524179804513714	2.1389364075340067
152.58759958725065	(26.400656147881527+2.0555445054259542j)	26.48055717413177	26.400656147881527	2.0555445054259542
135.63345059975427	(26.191580819974913+1.9168108471902428j)	26.261627323400656	26.191580819974913	1.9168108471902428
122.07012623576937	(26.01863489769088+1.8103622660916245j)	26.08154085697059	26.01863489769088	1.8103622660916245
110.97285742623434	(25.87386475318814+1.7279116313653786j)	25.931497370419613	25.87386475318814	1.7279116313653786
101.72513106647364	(25.749967702064442+1.6634642015517145j)	25.80364218104115	25.749967702064442	1.6634642015517145
93.90013016905552	(25.63812694786601+1.6127758438758977j)	25.6888029950304	25.63812694786601	1.6127758438758977
87.19298532433072	(25.533044432543686+1.5732260938582552j)	25.581465914537553	25.533044432543686	1.5732260938582552
81.38012554918876	(25.44136667081551+1.538304292488745j)	25.48783078598827	25.44136667081551	1.538304292488745
76.2938725529933	(25.354665981469605+1.5116907124448509j)	25.399690861149946	25.354665981469605	1.5116907124448509
67.81678278877874	(25.20317522786232+1.4718350357599577j)	25.246115343530054	25.20317522786232	1.4718350357599577
61.03510968390684	(25.070315704892923+1.4501806172123568j)	25.11222318643929	25.070315704892923	1.4501806172123568
55.486467197441	(24.954838260463365+1.4394442154504172j)	24.99631877407711	24.954838260463365	1.4394442154504172
50.86259787076453	(24.852626400483555+1.4369313576965872j)	24.894132054135646	24.852626400483555	1.4369313576965872
46.95009263840157	(24.756724260201054+1.4450145659750873j)	24.798860118793915	24.756724260201054	1.4450145659750873
