t	icf
0.08000096001152014	0.7195745584517955
0.1200014400172802	0.7194136229040583
0.16000192002304028	0.7177650871103096
0.20000240002880035	0.7147379748450913
0.2400028800345604	0.7171107988131286
0.2800033600403205	0.7163161688916646
0.32000384004608057	0.7163517685550982
0.4000048000576007	0.7160290643281975
0.4800057600691208	0.7154724218701792
0.560006720080641	0.7146515455956969
0.6400076800921611	0.7156520790003971
0.7200086401036813	0.7127832798303717
0.8000096001152014	0.716649514947028
0.8800105601267215	0.7167392253396532
1.0000120001440016	0.7169396803439133
1.120013440161282	0.7141047021304936
1.2400148801785622	0.7123960542875196
1.3600163201958424	0.7104231509532262
1.4800177602131226	0.7094276444194777
1.6000192002304028	0.7114836122104501
1.720020640247683	0.7127130476213998
1.8800225602707232	0.7110753263907981
2.0400244802937633	0.7119460946767855
2.2000264003168035	0.7132776908454869
2.360028320339844	0.7110611593890015
2.5200302403628845	0.7105570338134416
2.6800321603859247	0.7088319612981522
2.840034080408965	0.7101645194546671
3.0400364804377653	0.7100583450301808
3.2400388804665656	0.7078182620312069
3.440041280495366	0.7081473919053268
3.6400436805241663	0.7084597600475201
3.8400460805529666	0.7078067230725451
4.040048480581767	0.7105589964396984
4.240050880610567	0.7092888754999722
4.480053760645128	0.7063085039353839
4.720056640679688	0.7082163990221879
4.960059520714249	0.7097108447263307
5.200062400748809	0.7052360609587667
5.44006528078337	0.7073129098788161
5.68006816081793	0.7036764946113503
5.92007104085249	0.7058577436027689
6.20007440089281	0.705271604354306
6.480077760933131	0.7070569855879165
6.760081120973451	0.705756402643049
7.040084481013772	0.7052327346895161
7.320087841054092	0.7051444932520592
7.600091201094413	0.7026735129794621
7.880094561134733	0.7030655376454783
8.200098401180814	0.7046997642125162
8.520102241226894	0.6993489852670937
8.840106081272975	0.6986792975019359
9.160109921319055	0.6987430329647822
9.480113761365136	0.6962714289654253
9.800117601411216	0.6953553654460427
10.120121441457297	0.6983685835162257
10.480125761509138	0.6989085963078695
10.840130081560979	0.6992471443829215
11.20013440161282	0.695894255844354
11.560138721664659	0.6983260780956002
11.9201430417165	0.6985987529493148
12.280147361768341	0.6973961597174804
12.640151681820182	0.6996435779694009
