ome	zstar	zpr	zppr	zC
17357.344326318085	852.6243827700644	640.6001590830331	562.671995283954	(640.6001590830331+562.671995283954j)
15621.948838117563	812.4708846214128	615.1723866965083	530.7276825299607	(615.1723866965083+530.7276825299607j)
14202.023788389854	778.1641214349996	594.2175562243922	502.4389472994864	(594.2175562243922+502.4389472994864j)
13018.714401952815	748.4753952242521	576.6361597250756	477.18566256082914	(576.6361597250756+477.18566256082914j)
12017.425266636632	722.5021345256051	561.6556624774969	454.48019890972114	(561.6556624774969+454.48019890972114j)
11159.157483609995	699.5656847318006	548.7136422849466	433.9418002735628	(548.7136422849466+433.9418002735628j)
10415.31050644448	679.1455896759996	537.3906752912987	415.27098873666	(537.3906752912987+415.27098873666j)
9764.433052605891	660.8343432082322	527.3861816308358	398.203270438984	(527.3861816308358+398.203270438984j)
8679.613757187812	629.3155597452255	510.39727355095914	368.1476563679225	(510.39727355095914+368.1476563679225j)
7811.7371350454105	603.109776305006	496.3784387560546	342.56364052942934	(496.3784387560546+342.56364052942934j)
7101.642254771419	580.9345194717878	484.5200412201182	320.50779330614097	(484.5200412201182+320.50779330614097j)
6509.886890715277	561.8966175285693	474.2701874181011	301.3230792960384	(474.2701874181011+301.3230792960384j)
6009.163975061973	545.3514240376609	465.26237605998926	284.49797384677055	(465.26237605998926+284.49797384677055j)
5579.967915184491	530.8219134408909	457.2403992177169	269.63516297447455	(457.2403992177169+269.63516297447455j)
5207.994271206305	517.9467581413561	450.02131458241706	256.41696646410435	(450.02131458241706+256.41696646410435j)
4882.51449496491	506.447504869939	443.4685172548326	244.59098387468651	(443.4685172548326+244.59098387468651j)
4340.042315412578	486.745439786267	431.9777536606704	224.3130479820727	(431.9777536606704+224.3130479820727j)
3906.059274449492	470.4377323518946	422.1869781903692	207.53268529770816	(422.1869781903692+207.53268529770816j)
3550.978738514805	456.6804761994987	413.7103787474785	193.3928123235679	(413.7103787474785+193.3928123235679j)
3255.075883956547	444.8922984287069	406.2795638214055	181.29002515931802	(406.2795638214055+181.29002515931802j)
