t	msd
0.00019201249999999988	9.730304692265048e-18
0.00020481249999999986	9.936201449091191e-18
0.00023041249999999986	1.0305948161782257e-17
0.00025601249999999986	1.0629122656880595e-17
0.00028161249999999983	1.0914833325764572e-17
0.0003072124999999998	1.1170135236031491e-17
0.0003328124999999998	1.1400507458168366e-17
0.00035841249999999975	1.1610217183112095e-17
0.0003840124999999997	1.1802602007795197e-17
0.0004096124999999997	1.1980284781611712e-17
0.0004608124999999997	1.2299423851416237e-17
0.0005120124999999997	1.257973994840305e-17
0.0005632124999999997	1.282919640671387e-17
0.0006144124999999997	1.3053267963367837e-17
0.0006656124999999996	1.3255904936506667e-17
0.0007168124999999996	1.3440096688202724e-17
0.0007680124999999995	1.3608203248326002e-17
0.0008192124999999995	1.3762153986946939e-17
0.0009216124999999995	1.403383281084925e-17
0.0010240124999999994	1.4265564153050637e-17
0.0011264124999999995	1.446528923801554e-17
0.0012288124999999994	1.4639187864457175e-17
0.0013312124999999993	1.479211515168476e-17
0.0014336124999999992	1.492790175057349e-17
0.001536012499999999	1.5049578274345287e-17
0.001638412499999999	1.5159548111319917e-17
0.001843212499999999	1.5351626341257274e-17
0.002048012499999999	1.5515264022758346e-17
0.0022528124999999987	1.5657654908050008e-17
0.0024576124999999985	1.5783555348777665e-17
0.0026624124999999983	1.5896202065364826e-17
0.002867212499999998	1.5997874242457232e-17
0.003072012499999998	1.6090239218361637e-17
0.0032768124999999976	1.6174564309383974e-17
0.0036864124999999976	1.632290562033051e-17
0.004096012499999998	1.644895733334006e-17
0.004505612499999997	1.655708704742541e-17
0.004915212499999997	1.66506289380903e-17
0.005324812499999996	1.6732205761354946e-17
0.005734412499999996	1.6803909745132263e-17
0.006144012499999995	1.6867423721500963e-17
0.006553612499999995	1.6924105337178342e-17
0.007372812499999995	1.7021161642255536e-17
0.008192012499999995	1.710162180960889e-17
0.009011212499999994	1.7169838615518276e-17
0.009830412499999993	1.7228746500279985e-17
0.010649612499999992	1.7280359617369767e-17
0.011468812499999991	1.7326090301278756e-17
0.01228801249999999	1.736695518603354e-17
0.01310721249999999	1.7403707186028153e-17
0.01474561249999999	1.746705126227059e-17
0.01638401249999999	1.7519459511072628e-17
0.018022412499999987	1.7563207488386218e-17
0.019660812499999986	1.7599973156177127e-17
