sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
6.917686062E+1,5.863149515E+1,6.338700715E+1,5.389018123E+1,

Count Trace ChA [kHz],Count Trace ChB [kHz]
5.142211914E+1,4.421234131E+1
2.771377563E+1,2.584457397E+1
2.340316772E+1,2.092361450E+1
1.861572266E+1,1.695632935E+1
2.346038818E+1,1.987457275E+1
2.485275269E+1,2.347946167E+1
3.314971924E+1,2.935409546E+1
3.042221069E+1,2.677917480E+1
2.063751221E+1,1.979827881E+1
2.126693726E+1,2.187728882E+1
1.838684082E+1,1.754760742E+1
3.021240234E+1,2.731323242E+1
3.696441650E+1,3.330230713E+1
5.159378052E+1,4.858016968E+1
7.043838501E+1,6.387710571E+1
8.150100708E+1,7.463455200E+1
1.165390015E+2,1.073455811E+2
1.145935059E+2,1.047134399E+2
1.193237305E+2,1.076889038E+2
9.994506836E+1,9.275436401E+1
9.765625000E+1,8.939743042E+1
8.388519287E+1,7.629394531E+1
9.483337402E+1,8.840560913E+1
6.460189819E+1,6.099700928E+1
6.164550781E+1,5.701065063E+1
7.617950439E+1,6.891250610E+1
7.846832275E+1,7.413864136E+1
9.210586548E+1,8.371353149E+1
9.408950806E+1,8.373260498E+1
9.271621704E+1,8.810043335E+1
8.430480957E+1,7.734298706E+1
7.738113403E+1,6.988525391E+1
6.175994873E+1,5.678176880E+1
5.338668823E+1,5.014419556E+1
4.457473755E+1,4.295349121E+1
3.246307373E+1,2.832412720E+1
1.298904419E+1,1.159667969E+1
1.914978027E+1,1.884460449E+1
4.863739014E+1,4.495620728E+1
7.059097290E+1,6.647109985E+1
1.040649414E+2,9.752273560E+1
1.526832581E+2,1.413726807E+2
2.129173279E+2,1.973724365E+2
2.405357361E+2,2.165412903E+2
2.502632141E+2,2.267265320E+2
2.242469788E+2,2.065277100E+2
2.214813232E+2,2.051734924E+2
1.870346069E+2,1.701545715E+2
1.412582397E+2,1.277351379E+2
1.157188416E+2,1.036643982E+2
9.235382080E+1,8.165359497E+1
7.993698120E+1,7.387161255E+1
6.362915039E+1,5.800247192E+1
5.447387695E+1,4.819869995E+1
5.975723267E+1,5.714416504E+1
5.983352661E+1,5.323410034E+1
6.578445435E+1,6.090164185E+1
6.776809692E+1,6.332397461E+1
7.419586182E+1,6.879806519E+1
7.389068604E+1,6.708145142E+1
8.901596069E+1,8.274078369E+1
9.639739990E+1,8.737564087E+1
7.104873657E+1,6.385803223E+1
6.902694702E+1,6.456375122E+1
7.854461670E+1,7.135391235E+1
6.481170654E+1,5.933761597E+1
7.545471191E+1,6.891250610E+1
6.107330322E+1,5.809783936E+1
6.277084351E+1,5.807876587E+1
6.109237671E+1,5.735397339E+1
5.119323730E+1,4.560470581E+1
6.492614746E+1,6.031036377E+1
6.010055542E+1,5.678176880E+1
4.837036133E+1,4.438400269E+1
3.877639771E+1,3.726959229E+1
3.116607666E+1,2.843856812E+1
2.412796021E+1,2.222061157E+1
2.164840698E+1,1.911163330E+1
2.193450928E+1,1.920700073E+1
2.099990845E+1,1.928329468E+1
1.829147339E+1,1.800537109E+1
1.501083374E+1,1.459121704E+1
1.958847046E+1,1.792907715E+1
1.699447632E+1,1.636505127E+1
2.828598022E+1,2.431869507E+1
2.454757690E+1,2.231597900E+1
3.358840942E+1,3.005981445E+1
4.764556885E+1,4.270553589E+1
4.781723022E+1,4.323959351E+1
5.439758301E+1,4.989624023E+1
5.550384521E+1,5.208969116E+1
5.958557129E+1,5.428314209E+1
6.567001343E+1,5.889892578E+1
6.076812744E+1,5.493164062E+1
6.526947021E+1,5.867004395E+1
5.393981934E+1,5.632400513E+1
